min_cluster_size,n_neighbors,n_topics,outlier_pct,c_v,ok,error,score
30,30,18,0.11368861024033437,0.5526911795749827,True,,0.4898564874770118
20,5,32,0.11201671891327064,0.5436684194425607,True,,0.4827684669198413
10,30,42,0.1895506792058516,0.5821455410909786,True,,0.47179945838052556
20,15,23,0.12978056426332288,0.5248929551080361,True,,0.45677205121627223
30,5,20,0.11828631138975966,0.5039669847535095,True,,0.44435458906479763
20,30,27,0.18223615464994775,0.5410634079066093,True,,0.4424620930279127
10,5,96,0.27001044932079415,0.6024134751797781,True,,0.43975554206958506
30,15,19,0.15005224660397073,0.5152258947720153,True,,0.43791509175293336
50,5,13,0.1122257053291536,0.46759081829413585,True,,0.41511510890564035
10,15,78,0.3366771159874608,0.6086442433372301,True,,0.40372765482808115
50,15,13,0.1728317659352142,0.45882726108864824,True,,0.37952733529547955
50,30,-1,,,False,max_df corresponds to < documents than min_df,
